time,action,Xpos,Xangle,Xvelocity,Xangular_velocity,Ypos,Yangle,Yvelocity,Yangular_velocity,noise1,noise2,noise3,noise4
2.12,0.0,-1.294915,3.262101,-0.310022,1.786911,-1.301264,3.296335,-0.325098,1.634207,-0.423644,1.146039,1.232116,-1.017265
2.14,0.0,-1.301264,3.296335,-0.325098,1.634207,-1.307926,3.327387,-0.341265,1.469242,0.130919,-0.180341,0.436701,0.02068
2.16,0.0,-1.307926,3.327387,-0.341265,1.469242,-1.31492,3.355041,-0.358168,1.294783,-1.79742,1.622257,0.032632,-0.714673
2.18,0.0,-1.31492,3.355041,-0.358168,1.294783,-1.322256,3.379133,-0.375499,1.11346,-0.708925,0.337264,-0.923596,0.658316
2.2,0.0,-1.322256,3.379133,-0.375499,1.11346,-1.329941,3.39955,-0.392994,0.927735,-0.459523,1.239781,-2.003935,0.291463
2.22,0.0,-1.329941,3.39955,-0.392994,0.927735,-1.337975,3.416228,-0.410439,0.739889,-0.379955,0.584899,-2.311111,1.803483
2.24,-0.563693,-1.337975,3.416228,-0.410439,0.739889,-1.347275,3.427094,-0.519309,0.348592,-0.610199,-0.559751,-0.428727,-0.98698
2.26,0.0,-1.347275,3.427094,-0.519309,0.348592,-1.357819,3.432304,-0.535004,0.173175,-0.547667,-1.400257,1.378051,0.58712
2.28,0.0,-1.357819,3.432304,-0.535004,0.173175,-1.368672,3.434055,-0.550151,0.002897,-1.138678,-1.242569,1.269914,1.447005
2.3,0.0,-1.368672,3.434055,-0.550151,0.002897,-1.379821,3.432464,-0.564662,-0.16076,0.320138,-0.052702,0.110208,1.815166
2.32,0.0,-1.379821,3.432464,-0.564662,-0.16076,-1.391253,3.427678,-0.578453,-0.316423,0.835666,0.561745,-1.667921,0.225258
2.34,0.0,-1.391253,3.427678,-0.578453,-0.316423,-1.402954,3.419869,-0.591439,-0.462817,-1.463346,-1.93812,0.632058,-0.510066
2.36,0.0,-1.402954,3.419869,-0.591439,-0.462817,-1.414905,3.409235,-0.603534,-0.598763,0.235716,0.412416,-1.140306,0.022891
